P0,P1,Type
0.1153635682680,5.96703E-15,HE
0.3158731909,3.6039E-13,NRAD
3.02530070997,1.28e-16,RRAT
0.003050203104754390,1.142345E-20,HE
0.0048654532114961,1.0172E-20,HE
0.0018771818845850,4.966E-21,HE
0.02176610763,2.9E-14,NRAD
8.020392,1.88E-11,AXP
0.0025731519721683,5.16E-21,HE
0.0029641124215882,1.141E-20,HE
0.0831573050050,4.2792E-16,HE
1.2479609557,2.064E-15,RRAT
8.6889941,1.99E-12,AXP
1.349184471846,5.5144E-15,RRAT
0.06571592849324,1.93754256E-13,HE
0.00232309053151224,7.73955E-20,HE
0.0026008347856317,1.6873E-20,HE
0.217094,5.509E-14,HE
0.0025415543469461,7.572E-21,HE
0.003156088688500,1.726E-20,HE
0.0037043355330862,1.9723E-20,HE
0.0051898521745201,1.762E-20,HE
0.003299339366490734,7.0470E-21,HE
0.4441044988,1.3037E-14,NRAD
0.156384121559,4.39496E-15,HE
0.0794272322920,1.673360E-14,NRAD
9.07838822,4.1E-15,AXP
0.00291018473,1.3662E-20,HE
3.453004027,2.759E-14,XINS
0.005757451936712637,5.729215E-20,HE
5.76209653,5.82E-12,AXP
0.3202708224090,2.042031E-15,HE
8.0470,6.5E-11,AXP
0.0043881599698794,1.2618E-20,HE
0.0333924123,4.20972E-13,HE
0.0161222220245,5.1784338E-14,NRAD
0.14315825891177,3.6694515E-15,HE
0.0505697030222,4.789091E-13,HE
0.464960965736,1.426028E-13,NRAD
0.00272795420005466,4.717E-21,HE
0.00386132476693726,1.232661E-20,HE
0.003061844088621657,9.59043E-21,HE
0.003148669579439,1.75E-20,HE
0.0027217879391872,24.83E-21,HE
0.333208231801,2.54237E-14,NRAD
1.241421391299,0.5479E-15,RRAT
1.24441859615,7.1229E-15,HE
0.1109789432160,3.61723E-15,HE
0.28781555572,1.027171E-13,HE
0.29739519058,7.9592E-14,NRAD
0.2370994416923,1.097087E-14,HE
0.00286895289071925,3.44901E-21,HE
0.0047581298242818,2.076E-20,HE
0.384928623365,5.494123E-14,HE
8.391115532,6.983E-14,XINS
0.25170865575972,1.133559169E-13,HE
0.51016034483,1.895713E-14,HE
0.156250,1.22e-14,NRAD
4.8628739612,151.89E-15,RRAT
0.0226993785996239,1.75993E-18,HE
0.002885736411412693,1.219051E-20,HE
0.166762291572,1.682112E-14,HE
0.091996,9.56e-16,NRAD
0.00347877083927942,0.77874E-20,HE
0.273973,2.76e-15,NRAD
11.37038593,5.6E-14,XINS
0.112799455072,9.3E-18,NRAD
