P0,P1,TYPE,BSURF
2.64219851320,12.560E-15,RRAT,5.83e+12
0.00267792323878083,1.8048E-21,HE,7.03e+07
0.003238,1.21e-20,NRAD,2e+08
0.1381577782128,8.88351E-15,NRAD,1.12e+12
0.166108327507,3.601843E-13,HE,7.83e+12
0.060533,3.02e-15,NRAD,4.32e+11
0.0311816011,3.890E-14,HE,1.11e+12
0.005892408636028,1.346E-20,HE,2.85e+08
0.0500519462,32E-15,HE,1.28e+12
0.058199071070,3.29134E-15,NRAD,4.43e+11
0.10974069969,2.7680E-14,NRAD,1.76e+12
0.110573011690,1.69394E-13,NRAD,4.38e+12
0.06817987659,8.3167E-14,HE,2.41e+12
0.34096785164,9.6836E-14,NRAD,5.81e+12
0.11584261008,3.0500E-14,NRAD,1.9e+12
0.0020119534425332,1.411E-20,HE,1.7e+08
0.028634888190455,1.418E-19,HE,2.04e+09
4.7585755679,18.542E-15,RRAT,9.51e+12
0.002194695780881595,9.8075E-21,HE,1.48e+08
0.158730,1.17e-14,NRAD,1.38e+12
0.00798720480668373,2.43045E-20,HE,4.46e+08
0.103150638274,2.52704E-14,NRAD,1.63e+12
0.088924862943,9.16633E-15,HE,9.14e+11
0.0021190675651177,21.61E-21,HE,2.17e+08
0.151581943393,1.52868976E-12,HE,1.54e+13
1.046117156733,8.5284E-15,RRAT,3.02e+12
0.0035893366796749,1.8646E-20,HE,2.62e+08
0.10213598087,3.1239E-14,NRAD,1.81e+12
0.0024891435871920,3.537E-21,NRAD,9.5e+07
0.355686622097,2.475859E-14,NRAD,3e+12
0.084206064052,1.379389E-14,HE,1.09e+12
0.0030799140584053,2.11895E-20,HE,2.59e+08
3.44938495332,6.889E-15,RRAT,4.93e+12
0.277700692894,2.098E-16,RRAT,2.44e+11
0.00215928839043292,2.933E-21,HE,8.05e+07
2.06983302,2.318E-11,AXP,2.22e+14
0.0024278884863579,2.798E-21,HE,8.34e+07
0.1252295584025,2.29442E-15,RRAT,5.42e+11
0.00178750176696939,4.4531E-20,HE,2.85e+08
0.003597928510587011,9.49970E-21,HE,1.87e+08
0.003150807655690673,9.62423E-21,HE,1.76e+08
0.23169383623,4.94943E-13,HE,1.08e+13
0.179277780683,1.062492E-14,NRAD,1.4e+12
0.069356847,1.351E-13,HE,3.1e+12
0.0059313674952810,0.00310E-18,HE,1.37e+08
0.1719346524466,1.048790E-14,NRAD,1.36e+12
0.003845429067936,1.143E-20,HE,2.12e+08
4.327020261,2.7761E-12,AXP,1.11e+14
0.50301500560,1.9556E-15,RRAT,1e+12
0.0850721461634,4.16118E-15,NRAD,6.02e+11
0.1678611451478,4.72489E-15,NRAD,9.01e+11
0.0028336138772234,2.1325E-20,HE,2.49e+08
0.0021828338203418,5.478E-21,NRAD,1.11e+08
0.0032115683314684,1.195E-20,HE,1.98e+08
0.00331811218167957,1.06898E-20,HE,1.91e+08
0.0031633158188015911,2.81727E-21,HE,9.55e+07
0.2064430480,9.76E-13,NRAD,1.44e+13
0.175106267502,3.70111E-15,NRAD,8.15e+11
0.21231640921,0.129E-15,RRAT,1.67e+11
10.61065628,8.3E-13,AXP,9.51e+13
0.003424,1.33e-20,NRAD,2.16e+08
0.1271228933094,1.514467E-14,NRAD,1.4e+12
7.707183007,9.5E-15,RRAT,8.66e+12
0.0019676820247057,0.002402E-18,NRAD,6.96e+07
0.0024392959097964,1.1154E-20,HE,1.67e+08
0.182135802939,5.23448E-14,HE,3.12e+12
0.2989874273426,4.137877E-15,HE,1.13e+12
5.7637770030,11.65E-15,RRAT,8.29e+12
11.0062624,1.960E-11,AXP,4.7e+14
0.102459245929,9.298454E-14,HE,3.12e+12
0.004570136598623225,8.52963E-21,HE,2e+08
3.824936,5.88E-11,AXP,4.8e+14
3.3785742533,1.61359E-12,HE,7.47e+13
0.0746746986613,1.3174173E-14,HE,1e+12
0.008122798048058056,2.018403E-20,HE,4.1e+08
0.1395056216331,8.4095831E-14,HE,3.47e+12
0.82982878524,1.63626E-13,HE,1.18e+13
0.196543154965,2.80483E-14,HE,2.38e+12
0.0053125502904328,1.4191E-20,HE,2.78e+08
1.169340685,2.27941E-12,HE,5.22e+13
0.347222,6.56e-14,NRAD,4.83e+12
1.81846119286,0.24E-15,RRAT,6.69e+11
0.114371728447,1.139514E-14,HE,1.16e+12
0.1540957973985,2.1330698E-14,HE,1.83e+12
0.003747154500259940,3.021648E-20,HE,3.41e+08
0.41370012084,1.6983E-14,HE,2.68e+12
0.143266,1.27e-15,NRAD,4.31e+11
0.004074545942316071,8.93441E-21,HE,1.93e+08
0.0046875240948954,9.679E-21,NRAD,2.16e+08
0.0026521296710897,2.729E-21,HE,8.61e+07
3.763733080,1.756E-11,AXP,2.6e+14
0.1995413598713,6.56093E-15,NRAD,1.16e+12
0.0016456096148060,1.3142E-20,HE,1.49e+08
0.100200,3.53e-15,NRAD,6.02e+11
1.3204904144,4.428E-15,RRAT,2.45e+12
0.23410579125,1.30048E-14,HE,1.77e+12
0.0036250967171671,0.530E-20,HE,1.4e+08
0.13366692025028,1.34359375E-13,HE,4.29e+12
0.106334059346,1.950190E-14,NRAD,1.46e+12
0.0021346188308539,1.847E-20,HE,2.01e+08
0.0021289064590218,2.2758E-20,HE,2.23e+08
0.01508366732422,0.0000375E-15,HE,7.61e+08
2.76419486975,4.994E-15,RRAT,3.76e+12
7.55592,5.49E-10,AXP,2.06e+15
5.540742829,2.8281E-12,AXP,1.27e+14
0.146788548116,3.44207E-14,NRAD,2.27e+12
0.00166,0.46E-20,HE,8.84e+07
0.06466700,4.40E-14,NRAD,1.71e+12
0.048072246759,1.75637E-14,NRAD,9.3e+11
0.04474055970,1.26999E-13,HE,2.41e+12
0.2176426911444,6.48032E-15,HE,1.2e+12
0.0031931035538505,4.310E-20,HE,3.75e+08
0.1497440393996,2.058107E-14,NRAD,1.78e+12
1.3634920,4.183E-11,AXP,2.42e+14
4.26321348,5.6268E-13,RRAT,4.96e+13
8.43772106,2.1E-14,AXP,1.36e+13
0.0054400041632727,3.3750E-18,HE,4.34e+09
0.004065916139472,5.373E-21,HE,1.5e+08
0.00305431575773716,1.618856E-18,HE,2.25e+09
0.110238639764,1.209452E-13,NRAD,3.69e+12
0.1014867942076,7.5251738E-14,HE,2.8e+12
0.770620171033,8.7841E-15,RRAT,2.63e+12
0.0022424697684063,1.0957E-20,NRAD,1.59e+08
0.49918661036,4.53351E-14,NRAD,4.81e+12
0.07205652531,1.479719E-14,HE,1.04e+12
0.0672668461152,8.32385E-15,HE,7.57e+11
7.5654084,3.4E-12,AXP,1.63e+14
0.06188365001063,2.02014996E-13,HE,3.58e+12
0.0018660672158607,1.7735E-20,HE,1.84e+08
2.4823018,7.96E-12,AXP,1.42e+14
0.0018302930799293,4.3422E-20,HE,2.85e+08
0.173263836028,1.5016E-15,XINS,5.16e+11
0.096312805197,4.486804E-14,HE,2.1e+12
0.1457544863308,4.50714095E-13,NRAD,8.2e+12
0.070498243969,4.925E-14,NRAD,1.89e+12
0.93326558076,5.944E-15,RRAT,2.38e+12
6.59756252242,6.3538E-15,RRAT,6.55e+12
11.7889784,4.092E-11,AXP,7.03e+14
0.44580970133,2.332421E-13,HE,1.03e+13
2.03194008516,4.13E-15,RRAT,2.93e+12
0.0018456663232093,0.9554E-20,HE,1.34e+08
0.112854649905,1.547031E-13,NRAD,4.23e+12
4.4767225398,160.587E-15,RRAT,2.71e+13
0.32657128834,7.107450E-12,NRAD,4.88e+13
0.225552101075,9.93056E-15,NRAD,1.51e+12
0.41438335440,0.4405E-15,RRAT,4.32e+11
0.038522586319205,1.415651E-14,NRAD,7.47e+11
0.104912611147,8.68E-18,NRAD,3.05e+10
0.0043146558486783,1.0193E-20,HE,2.12e+08
0.10143745367609,5.5717152E-15,HE,7.61e+11
4.5578200962,145.125E-15,RRAT,2.6e+13
